search URL:,https://patents.google.com/?q=%28%22livestock+waste%22+OR+manure+OR+%22animal+waste%22+OR+%22poultry+litter%22+OR+%22swine+manure%22%29+AND+%28processing+OR+treatment+OR+recycling+OR+utilization%29&oq=%28%22livestock+waste%22+OR+manure+OR+%22animal+waste%22+OR+%22poultry+litter%22+OR+%22swine+manure%22%29+AND+%28processing+OR+treatment+OR+recycling+OR+utilization%29
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
KR-101389212-B1,Feces Treatment Sheet ,유니챰 가부시키가이샤,"마사유키 다카하시, 다케시 이케가미",2007-06-29,2008-06-19,2014-04-24,2014-04-24,https://patents.google.com/patent/KR101389212B1/en,https://patentimages.storage.googleapis.com/ec/87/42/8a8e000131f9f1/112010006285107-pct00001.png
CN-103951145-B,A kind of dirty harmless treatment of livestock and poultry cultivation excrement and the method recycled ,"青岛市畜牧兽医研究所, 中国科学院青岛生物能源与过程研究所, 北京旭阳化工技术研究院有限公司","赵金山, 王建华, 李和刚, 周功克, 江科, 张新志, 孙长江, 马玉彬",2014-01-27,2014-01-27,2017-08-15,2017-08-15,https://patents.google.com/patent/CN103951145B/en,
CN-104649806-B,A kind of sodium alginate oligosaccharide enveloped slow release fertilizer and its preparation and application ,中国科学院大连化学物理研究所,"尹恒, 张运红, 杜昱光, 赵小明, 王文霞",2013-11-21,2013-11-21,2017-10-31,2017-10-31,https://patents.google.com/patent/CN104649806B/en,
ES-2691371-T3,Urea content fertilizer treatment mix ,Eurochem Agro Gmbh,"Nils Peters, Thomas Mannheim",2015-06-22,2015-06-22,2018-11-27,2018-11-27,https://patents.google.com/patent/ES2691371T3/en,
US-11254581-B2,Process to recover ammonium bicarbonate from wastewater ,"Bion Environmental Technologies, Inc.","Dominic Bassani, Morton Orentlicher, Mark M. Simon, Stephen Pagano",2015-01-14,2020-02-13,2022-02-22,2022-02-22,https://patents.google.com/patent/US11254581B2/en,https://patentimages.storage.googleapis.com/19/be/aa/a9cfc55de750d4/US11254581-20220222-D00000.png
KR-101375739-B1,Feces Treatment Sheet ,유니챰 가부시키가이샤,"마사유키 다카하시, 다케시 이케가미",2007-06-29,2008-06-19,2014-03-19,2014-03-19,https://patents.google.com/patent/KR101375739B1/en,https://patentimages.storage.googleapis.com/9e/7a/8c/3e16e222531a13/112010005370347-pct00005.png
JP-4567757-B2,Automatic urine processing equipment ,"稔 中村, 株式会社サンヨーテック","稔 中村, 容河 金, 鉉玉 都",2008-02-05,2008-02-05,2010-10-20,2010-10-20,https://patents.google.com/patent/JP4567757B2/en,https://patentimages.storage.googleapis.com/0e/90/af/baa6350e630137/0004567757-2.png
KR-101065721-B1,Food and livestock manure waste disposal device ,(주)아이엔탑,"조희돈, 박민수",2011-03-03,2011-03-03,2011-09-19,2011-09-19,https://patents.google.com/patent/KR101065721B1/en,https://patentimages.storage.googleapis.com/e7/c5/1c/3394b04264cc0f/112011015464905-pat00001.png
KR-101536392-B1,"Wastewater processing method, system, and method for measuring pollutant-decomposition activity ",료조 이리에,료조 이리에,2010-04-26,2011-04-25,2015-07-14,2015-07-14,https://patents.google.com/patent/KR101536392B1/en,https://patentimages.storage.googleapis.com/3d/2e/08/73ad6918053f7f/112012087703912-pct00026.png
US-7972517-B1,Method for treatment of agricultural waste ,"Innovative Environmental Products, Inc.",Francis C. Miller,2007-02-24,2008-02-22,2011-07-05,2011-07-05,https://patents.google.com/patent/US7972517B1/en,https://patentimages.storage.googleapis.com/25/43/fc/f137cdaf4c9cc6/US07972517-20110705-D00000.png
US-7674379-B2,Wastewater treatment system with simultaneous separation of phosphorus and manure solids ,The United States Of America As Represented By The Secretary Of Agriculture,"Matias B. Vanotti, Ariel A. Szogi, Lewis M. Fetterman",2007-06-19,2007-06-19,2010-03-09,2010-03-09,https://patents.google.com/patent/US7674379B2/en,https://patentimages.storage.googleapis.com/76/8b/79/76893a82d29be0/US07674379-20100309-D00000.png
CN-101920258-B,Energy utilization system of organic wastes with zero emission of carbon dioxide ,中国科学院广州能源研究所,"李东, 孙永明, 袁振宏, 孔晓英, 李连华, 马隆龙, 王忠铭, 庄新姝, 许敬亮, 吕鹏梅",2010-07-20,2010-07-20,2012-06-20,2012-06-20,https://patents.google.com/patent/CN101920258B/en,https://patentimages.storage.googleapis.com/36/90/2d/f175717f7ce6f2/HSA00000198957200011.png
CN-107312734-B,Banana wilt antagonistic bacteria and bio-organic fertilizer as well as preparation method and application thereof ,广东省农业科学院农业资源与环境研究所,"黄建凤, 张发宝, 逄玉万, 黄巧义, 唐拴虎, 杨苞梅",2017-08-21,2017-08-21,2020-03-17,2020-03-17,https://patents.google.com/patent/CN107312734B/en,https://patentimages.storage.googleapis.com/85/18/cf/fd48341d206e2a/HDA0001383778940000011.png
CN-104250051-B,The purifying treatment method of wheeled lavatory liquid dung ,周鼎力,周鼎力,2013-06-27,2013-06-27,2017-07-04,2017-07-04,https://patents.google.com/patent/CN104250051B/en,
US-11337847-B2,Feces treatment agent for colostomy ,Excelsior Inc.,Kanichi Adachi,2017-01-17,2017-11-02,2022-05-24,2022-05-24,https://patents.google.com/patent/US11337847B2/en,https://patentimages.storage.googleapis.com/11/25/c4/a80dfab140b92c/US11337847-20220524-D00000.png
KR-200468971-Y1,Complex type apparatus capable of removing malodor gas of animal-excretion ,제주특별자치도(보건환경연구원장),"현근탁, 고찬옥, 오태권, 임용철, 김형철, 고신효",2013-01-23,2013-01-23,2013-09-10,2013-09-10,https://patents.google.com/patent/KR200468971Y1/en,https://patentimages.storage.googleapis.com/80/cd/2c/de336316a60250/112013006680659-utm00001.png
CN-103011927-B,Biomass tower type compost treatment device and method ,雷学军,雷学军,2012-12-31,2012-12-31,2014-05-07,2014-05-07,https://patents.google.com/patent/CN103011927B/en,https://patentimages.storage.googleapis.com/18/63/e1/18a1309c836555/121231092416.png
CN-103172244-B,Recycling treatment method of water-submerged manure in breeding industry ,广州培根裕农生物科技有限公司,董部根,2013-03-26,2013-03-26,2014-12-31,2014-12-31,https://patents.google.com/patent/CN103172244B/en,
CN-103140456-B,"Fresh grass fermented liquid fertilizer, method for manufacturing fresh grass fermented liquid fertilizer and fresh grass pulverizer ",金相准,金相准,2011-10-04,2011-10-04,2015-08-19,2015-08-19,https://patents.google.com/patent/CN103140456B/en,
JP-4520511-B2,Detection system for human body supine toilet ,"稔 中村, 株式会社サンヨーテック","稔 中村, 容河 金, 鉉玉 都",2008-02-05,2008-02-05,2010-08-04,2010-08-04,https://patents.google.com/patent/JP4520511B2/en,https://patentimages.storage.googleapis.com/f1/9f/6b/f6e48757376f02/0004520511-2.png
CN-115156245-B,Vehicle-mounted slag processing system and slag processing method ,中铁工程服务有限公司,"冯赟杰, 罗章, 牟松, 李恒, 石鸿韬, 孙畅, 李明强, 余烈林, 韩彦朋, 张中华, 周鸿雏, 高旭东, 李玥壵, 刘绥美, 杨梦柳",2022-06-16,2022-06-16,2025-01-10,2025-01-10,https://patents.google.com/patent/CN115156245B/en,
CN-102249507-B,Livestock and poultry muck treatment system and method based on membrane concentration technology ,北京市环境保护科学研究院,"魏泉源, 阎中, 梁康强, 朱民, 贾立敏",2011-04-15,2011-04-15,2013-04-24,2013-04-24,https://patents.google.com/patent/CN102249507B/en,https://patentimages.storage.googleapis.com/52/7b/59/c4ffe628684788/HSA00000474785400011.png
KR-100850186-B1,Eco-Friendly Fertilizer Compositions with Improved Fertilizer Use Efficiency Containing Polyaspartic Acid ,주식회사 동부하이텍,"김경성, 장성식, 남택수, 이준석, 손주연, 최기석, 배형욱, 명광진, 장일",2008-03-12,2008-03-12,2008-08-04,2008-08-04,https://patents.google.com/patent/KR100850186B1/en,
KR-101253444-B1,Pig production system with an anaerobic fermentation process of pig-slurry ,서울대학교산학협력단,최홍림,2011-08-31,2011-08-31,2013-04-11,2013-04-11,https://patents.google.com/patent/KR101253444B1/en,https://patentimages.storage.googleapis.com/70/7f/2f/fb2718a0dee0e5/112011068028000-pat00001.png
CN-103708689-B,"Sterilization, deodorization and deep-dehydration method for livestock excrements ",湖南大学,"袁兴中, 肖智华, 陈晓红, 蒋龙波, 李辉, 郭晶晶, 曹亮, 曾光明",2013-12-20,2013-12-20,2015-07-01,2015-07-01,https://patents.google.com/patent/CN103708689B/en,
CN-104355777-B,Bioorganic-inorganic compound fertilizer containing nano-selenium and preparation method of bioorganic-inorganic compound fertilizer ,广西民族大学,"袁爱群, 陈其峰, 黄增尉, 周泽广, 韦冬萍, 马少妹",2014-11-24,2014-11-24,2017-05-10,2017-05-10,https://patents.google.com/patent/CN104355777B/en,
ES-3014957-T3,Direct-fed microbials and methods of their use ,Microbial Discovery Group Llc,"Michael R King, Sona Son, Nathan Robert Augspurger, Joel Dean Spencer, Amy Lange, Michael D Englehardt",2014-05-13,2015-05-13,2025-04-28,2025-04-28,https://patents.google.com/patent/ES3014957T3/en,
CN-102794293-B,Method for comprehensively treating municipal solid waste ,北京昊业怡生科技有限公司,"于景成, 田丹, 靳国良, 田艺伟, 丁雪梅, 辛凯, 桑力维",2011-05-27,2011-05-27,2014-04-09,2014-04-09,https://patents.google.com/patent/CN102794293B/en,
US-6521129-B1,"Process for producing energy, feed material and fertilizer products from manure ","Ken Stamper, Richard Skinner","Ken Stamper, Richard Skinner",2001-08-24,2001-08-24,2003-02-18,2003-02-18,https://patents.google.com/patent/US6521129B1/en,https://patentimages.storage.googleapis.com/32/a9/00/700a444664179a/US06521129-20030218-D00000.png
KR-100584692-B1,Animal waste treatment material and its manufacturing method ,유니참 팻케어 가부시키가이샤,"겐고 오치, 히로시 즈보이",1997-10-30,1998-10-29,2006-08-21,2006-08-21,https://patents.google.com/patent/KR100584692B1/en,
CN-1330582-C,Methods and apparatus for treating animal manure ,国家科学研究所,"J－F·布莱, G·默西埃, G·贝朗格, M·沙尔捷, D·勒布朗",2002-04-09,2003-04-08,2007-08-08,2007-08-08,https://patents.google.com/patent/CN1330582C/en,
US-6692642-B2,Organic slurry treatment process ,International Waste Management Systems,"Juan Carlos Josse, John William Sutherlin",2002-04-30,2002-04-30,2004-02-17,2004-02-17,https://patents.google.com/patent/US6692642B2/en,https://patentimages.storage.googleapis.com/0b/f3/70/11a69b546ce234/US06692642-20040217-D00000.png
KR-100422921-B1,A method for collecting and disposing of human waste ,더 프록터 앤드 갬블 캄파니,"팔룸보지안프란코, 다치올리빈센조",1998-06-26,1998-06-26,2004-03-12,2004-03-12,https://patents.google.com/patent/KR100422921B1/en,
KR-100327154-B1,High Concentrated Organic Wastewater Treatment Process Using Bio-maker ,"박호군, 한국과학기술연구원","박완철, 김태형, 이창주, 정훈",2000-10-13,2000-10-13,2002-03-13,2002-03-13,https://patents.google.com/patent/KR100327154B1/en,
CN-1182079-C,Method for making organic fertilizer by utilizing housefly larva to ecologically treat pig dung ,贵阳医学院,吴建伟,2000-12-15,2000-12-15,2004-12-29,2004-12-29,https://patents.google.com/patent/CN1182079C/en,
AU-2017210555-B2,Molded boot for dispensing seeds and multiple treatments ,Morris Industries Ltd.,"Garth W. Massie, Clint W. Sheppard",2013-11-25,2017-08-02,2019-04-04,2019-04-04,https://patents.google.com/patent/AU2017210555B2/en,
US-3875319-A,Process and apparatus for recovering feed products from animal manure ,Ceres Ecology Corp,"David W Seckler, Judson M Harper",1973-08-16,1973-08-16,1975-04-01,1975-04-01,https://patents.google.com/patent/US3875319A/en,https://patentimages.storage.googleapis.com/2c/4d/69/a32d61d55c19b0/US3875319-drawings-page-2.png
DE-69203513-T2,Process and plant for treating manure. ,Ecotechniek Bv,"Abraham Klapwijk, Iman Willem Koster",1991-04-17,1992-04-16,1996-02-15,1996-02-15,https://patents.google.com/patent/DE69203513T2/en,
EP-0720974-B1,Bacterial preparation and its use for treating wastes of biological origin ,Cobiotex,Jean Penaud,1995-01-09,1996-01-08,2002-11-27,2002-11-27,https://patents.google.com/patent/EP0720974B1/en,https://patentimages.storage.googleapis.com/17/8e/93/556bf2038c5445/00610001.png
CA-2464693-C,Fixed-film anaerobic digestion of flushed manure ,"University Of Florida Research Foundation, Incorporated, Ann C. Wilkie, University Of Florida",Ann C. Wilkie,2001-10-24,2002-10-23,2009-05-12,2009-05-12,https://patents.google.com/patent/CA2464693C/en,
EP-0017274-B1,Process and apparatus for the treatment of manure ,Societe Agricole Et Fonciere S.A.F. S.A.,Hans Milinko Arsovic,1979-03-14,1980-03-07,1982-12-08,1982-12-08,https://patents.google.com/patent/EP0017274B1/en,https://patentimages.storage.googleapis.com/49/32/90/9af2924ff3f8ad/imgf0001.png
US-4160656-A,Process for deodorizing liquid manure and removing harmful gases ,Deutsche Gold- Und Silber-Scheideanstalt Vormals Roessler,Helmut Junkermann,1977-05-26,1978-05-02,1979-07-10,1979-07-10,https://patents.google.com/patent/US4160656A/en,
US-5232583-A,"Installation for processing manure, fermented manure and kjeldahl-n containing waste water ",Ecotechniek B.V.,"Iman W. Koster, Abraham Klapwijk",1989-10-17,1990-10-17,1993-08-03,1993-08-03,https://patents.google.com/patent/US5232583A/en,https://patentimages.storage.googleapis.com/57/9a/76/e8bab7ded6b69d/US5232583-drawings-page-2.png
EP-0674930-B1,"Filtration apparatus for solid-liquid separation from a sludge, corresponding filtration process and use of said apparatus for liquid manure treatment ",Grande Paroisse S.A.,Marcel Norais,1994-03-31,1995-03-15,1999-12-22,1999-12-22,https://patents.google.com/patent/EP0674930B1/en,https://patentimages.storage.googleapis.com/33/6e/c6/2efed0933662ad/00210001.png
US-4711403-A,Method and apparatus for cleaning chicken manure from chicken houses ,"Gregory Sr Charles E, Jordan Bertram L, Gregory Jr Charles E","Charles E. Gregory, Sr., Bertram L. Jordan, Charles E. Gregory, Jr.",1986-03-10,1986-03-10,1987-12-08,1987-12-08,https://patents.google.com/patent/US4711403A/en,https://patentimages.storage.googleapis.com/e8/cc/ef/169a3ba38f13c8/US4711403-drawings-page-2.png
KR-101423285-B1,system and method for cultivating micro algae using wastewater ,주식회사 에이이,"이성재, 최낙철",2014-01-17,2014-01-17,2014-07-24,2014-07-24,https://patents.google.com/patent/KR101423285B1/en,https://patentimages.storage.googleapis.com/c1/5d/e9/4effb88f42b486/112014005183376-pat00001.png
US-7442224-B2,Fertilizer compositions and methods of making and using same ,"Microbes, Inc.",Randolph S. Porubcan,2001-12-31,2005-02-22,2008-10-28,2008-10-28,https://patents.google.com/patent/US7442224B2/en,https://patentimages.storage.googleapis.com/76/c3/99/96aa01f45fa292/US07442224-20081028-D00001.png
TW-383221-B,Faecal management device ,Procter & Gamble,"Gianfranco Palumbo, Acchioli Vincenzo D",1997-06-28,1998-08-04,2000-03-01,2000-03-01,https://patents.google.com/patent/TW383221B/en,
KR-101936816-B1,A Composition for livestock feed comprising insect breeded by citrus peel ,김종주,김종주,2017-09-29,2018-04-26,2019-01-09,2019-01-09,https://patents.google.com/patent/KR101936816B1/en,
KR-100841335-B1,Livestock manure or organic waste drying apparatus using medium pressure steam and method for drying livestock manure or organic waste using same and cogeneration apparatus including high efficiency drying / gasification of livestock manure or organic waste using such livestock manure or organic waste drying apparatus ,한국에너지기술연구원,"최영찬, 박중근",2007-03-08,2007-03-08,2008-06-26,2008-06-26,https://patents.google.com/patent/KR100841335B1/en,https://patentimages.storage.googleapis.com/14/d9/9b/b4dbcd5038f3aa/112007018986159-pat00001.png
US-2026069393-A1,Bodysuit for animals ,Tonua Leigh Thompson,Tonua Leigh Thompson,2011-01-10,2025-09-26,2026-03-12,,https://patents.google.com/patent/US20260069393A1/en,https://patentimages.storage.googleapis.com/US20260069393A1/US20260069393A1-20260312-D00000.png
US-7654229-B2,Bovine treadmill ,Smith Arlan R,Arlan R. Smith,2007-05-18,2007-05-18,2010-02-02,2010-02-02,https://patents.google.com/patent/US7654229B2/en,https://patentimages.storage.googleapis.com/68/7d/c1/fbaa789f914adf/US07654229-20100202-D00000.png
US-12557785-B2,Puppy apartment ,Nicholas DiPaolo,Nicholas DiPaolo,2011-02-23,2020-09-18,2026-02-24,2026-02-24,https://patents.google.com/patent/US12557785B2/en,https://patentimages.storage.googleapis.com/US12557785B2/US12557785-20260224-D00000.png
KR-102028177-B1,food waste treatment equipment using lava of black soldier fly ,심상수,심상수,2017-08-31,2017-08-31,2019-10-02,2019-10-02,https://patents.google.com/patent/KR102028177B1/en,https://patentimages.storage.googleapis.com/a5/23/28/170d0171551237/112017084801003-pat00001.png
US-8404227-B2,Bacillus strains useful for animal odor control ,Dupont Nutrition Biosciences Aps,"Marianne Cain Bellot, Keith J. Mertz, Thomas G. Rehberger",2008-04-17,2011-08-18,2013-03-26,2013-03-26,https://patents.google.com/patent/US8404227B2/en,https://patentimages.storage.googleapis.com/3a/f7/41/9fc04e73d3d98c/US08404227-20130326-D00001.png
JP-5714878-B2,Organic fertilizer production system ,"株式会社Ｂｂｂジャパン, 株式会社ユニック, 株式会社イズミ・グローバル・マーケティング","山口　弘一, 弘一 山口, 征一 井上, 征一 井上",2010-11-29,2010-11-29,2015-05-07,2015-05-07,https://patents.google.com/patent/JP5714878B2/en,https://patentimages.storage.googleapis.com/75/64/42/be8630d6466bad/0005714878-2.png
JP-5718033-B2,Organic fertilizer manufacturing method ,"株式会社Ｂｂｂジャパン, 株式会社イズミ・グローバル・マーケティング, 株式会社ユニック","山口　弘一, 弘一 山口, 竜 山口, 竜 山口, 俊幸 並木, 俊幸 並木",2010-11-29,2010-11-29,2015-05-13,2015-05-13,https://patents.google.com/patent/JP5718033B2/en,https://patentimages.storage.googleapis.com/10/bc/a1/7b2a220876bbee/0005718033-2.png
US-11369088-B2,Industrial livestock management leveraging digital twin computing ,International Business Machines Corporation,Partho Ghosh,2020-09-23,2020-09-23,2022-06-28,2022-06-28,https://patents.google.com/patent/US11369088B2/en,https://patentimages.storage.googleapis.com/15/bb/ab/795fc097468fc1/US11369088-20220628-D00000.png
